,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,유동부채변화율,Label,Code
16,OCI,Materials_&_Chemicals,2020,Q3,-0.1325808001110421,-0.005767724408951125,-0.22838257549486962,-0.009228482971316732,-0.13600325927772317,0.2014346583110359,0.4412901646830124,010060
16,Korea_Zinc,Materials_&_Chemicals,2020,Q3,-0.24408591691150494,-0.02440059260495664,-0.1281769546994811,-0.027175960529972842,0.017987425583068983,-0.029474100286080107,0.019218642305306344,010130
16,IS_Dongseo,Technology,2020,Q3,0.06937807695979231,-0.07993524913474936,-0.1300051194976961,-0.12974008966337003,-0.46749190346568525,-0.05580023795594924,0.3478757794311781,010780
16,S-Oil,Energy_&_Utilities,2020,Q3,-0.06589722393188671,-0.00842494429002194,-0.12979628052284364,-0.00736444214402332,0.015031695687109825,0.11545863087509067,-0.28679132815259617,010950
16,LG_Innotek,Technology,2020,Q3,0.3349112920199145,-0.00841603818953418,-0.4398292161480828,-0.01655402419327734,-0.09113796033762744,-0.2717595520148228,-0.21485435931406927,011070
16,Lotte_Chemical,Materials_&_Chemicals,2020,Q3,-0.31218670062449516,-0.008160494898391546,-0.10610570159689714,-0.011999983239754375,-0.05910980070572802,-0.03077449990592096,0.06968782518367761,011170
16,Kumho_Petrochemical,Materials_&_Chemicals,2020,Q3,-0.046099104341359054,-0.06970548094597828,-0.159335854471923,-0.08778970571652644,-0.09670571301120878,0.08248270441292727,0.38148950294659956,011780
16,SKC,Materials_&_Chemicals,2020,Q3,0.44620146226382845,0.0016842678984322346,-0.09601989779375497,-0.0011594980564750834,-0.045337394267151554,-0.1730074841303233,0.2500007430448148,011790
17,Hansol_Chemical,Materials_&_Chemicals,2020,Q3,0.4471590848525783,-0.0772922800944611,-0.12391116919391498,-0.08551199902038209,-0.01019770016287791,-0.00034399513422500583,0.05695867184740383,014680
16,Korea_Electric_Power_Corporation_(KEPCO),Energy_&_Utilities,2020,Q3,-0.1694746728923662,-0.021111083194609748,-0.20733354672135995,-0.03202978686670499,0.008551889652151812,0.005373074701927605,-0.05222500162198392,015760
17,Samsung_SDS,Technology,2020,Q3,-0.04953195896468987,-0.020005257958918055,-0.016150821528038817,-0.025382383089988636,0.020495625898888647,0.014493237486486232,-0.09890643079189235,018260
16,Iljin_Materials,Materials_&_Chemicals,2020,Q3,0.40420953763394957,-0.014075102080667312,-0.03277380416962883,-0.014264751714107682,-0.006566585573290595,0.13121553362064975,-0.19363893771434915,020150
16,Korea_Electric_Terminal,Energy_&_Utilities,2020,Q3,0.12786098991610728,-0.02066231885431269,-0.3903987642439648,-0.017481142876805578,0.005220682581787317,-0.23494416576142374,0.3160495809383129,025540
16,Namhae_Chemical,Materials_&_Chemicals,2020,Q3,-0.15749259002562488,-0.017088654777454693,0.1612192576851219,-0.02119054598679715,0.14442961073020633,-0.008636853903444708,0.025648985626394283,025860
16,LG_Display,Technology,2020,Q3,-0.15449604108354098,0.007153668093874299,-0.3226277154378927,0.012111647279408055,-0.04653534060573117,0.01180491921748339,0.2246887730826597,034220
16,NAVER_Corp,Technology,2020,Q3,0.40781314123755324,-0.06603103766512053,-0.0628712960176685,-0.04210397613650452,-0.020019764698995024,-0.11590763633475554,0.005106819995551987,035420
16,Korea_Gas_Corporation,Energy_&_Utilities,2020,Q3,0.04298022321314582,0.019947780812564875,0.17908368682435538,0.03976158458325818,0.060803254362292725,0.02983632700581762,-0.15399370910497712,036460
16,NCSOFT,Technology,2020,Q3,0.18133473083333135,-0.0,-1.739927158355889,-0.06404891902862886,-0.20014608241057052,-0.16674888296223722,-0.20144840779861387,036570
16,Hanmi_Semiconductor,Technology,2020,Q3,-0.09239312115482441,-0.0378749351952159,-0.2615605649783004,-0.1002288273647618,-0.07458746614267198,-0.16595583206726383,0.3002920051807372,042700
16,KEPCO_KPS,Energy_&_Utilities,2020,Q3,-0.1888580533539187,0.017846263209325253,0.012349274370405228,0.0179938584038829,-1.6147723436333323,0.11981626743057372,-0.16825500336627136,051600
16,LG_Chem,Materials_&_Chemicals,2020,Q3,0.412406258945425,-0.0344111119721251,-0.006673015074474042,-0.020893638286316296,0.0027525973115495317,-0.04621017568223573,0.21757991433237375,051910
16,LG_Electronics,Technology,2020,Q3,0.11405409721944182,-0.03411965005604545,-0.25421044964743955,-0.05273994769876844,-0.013201083976160044,-0.18081204407822504,0.3397711718474038,066570
16,Huchems,Materials_&_Chemicals,2020,Q3,-0.09923873822811938,-0.020083060352188875,-0.10135354202007485,-0.027810758554805526,-0.012664319735467,-0.4342165017954869,0.18250046751303853,069260
16,Huvis,Materials_&_Chemicals,2020,Q3,0.1105995791277255,-0.029826284042818507,-0.07892959116342713,-0.055808190556146275,0.16526305914326045,-0.4756943342732465,0.06458792783731557,093370
16,SK_Innovation,Energy_&_Utilities,2020,Q3,0.34357228156114766,-0.00892373293579829,-0.9075462654423652,-0.01357782429582377,-0.05572711180607515,0.03784952491579363,-0.05957450028498244,096770
16,Poongsan,Materials_&_Chemicals,2020,Q3,0.00806628694524436,-0.019992876569277618,0.004319634647952264,-0.047572732729372014,0.025678807488456412,-0.13836797330224138,-0.025776754161564774,103140
16,Korea_Steel,Materials_&_Chemicals,2020,Q3,0.17051556545466057,-0.014444707045661698,0.15337096790516624,-0.07221508198337445,-0.053077871409962674,0.04031212117850402,-0.030824133582460417,104700
16,LG_Hausys,Materials_&_Chemicals,2020,Q3,0.651910687059237,-0.05112952128795323,-0.04355016538037493,-0.1732733634630068,0.0005048073189295454,-0.06605583152754102,-0.21571213560601232,108670
16,Kolon_Industries,Materials_&_Chemicals,2020,Q3,-0.17186701738997384,0.002801706289708661,0.05693188992095444,0.007901706185255208,0.11322555831656589,-0.05202179020825959,0.06316081579839924,120110
