,Sector,Symbol
212,Industrials,GNRC
213,Industrials,GD
214,Consumer Staples,GIS
215,Consumer Discretionary,GM
216,Consumer Discretionary,GPC
217,Health Care,GILD
218,Financials,GPN
219,Financials,GL
220,Information Technology,GDDY
221,Financials,GS
222,Energy,HAL
223,Financials,HIG
224,Consumer Discretionary,HAS
225,Health Care,HCA
226,Real Estate,DOC
227,Health Care,HSIC
228,Consumer Staples,HSY
229,Energy,HES
230,Information Technology,HPE
231,Consumer Discretionary,HLT
232,Health Care,HOLX
233,Consumer Discretionary,HD
234,Industrials,HON
235,Consumer Staples,HRL
236,Real Estate,HST
237,Industrials,HWM
238,Information Technology,HPQ
239,Industrials,HUBB
240,Health Care,HUM
241,Financials,HBAN
242,Industrials,HII
243,Information Technology,IBM
244,Industrials,IEX
245,Health Care,IDXX
246,Industrials,ITW
247,Health Care,INCY
248,Industrials,IR
249,Health Care,PODD
250,Information Technology,INTC
251,Financials,ICE
252,Materials,IFF
253,Materials,IP
254,Communication Services,IPG
255,Information Technology,INTU
256,Health Care,ISRG
257,Financials,IVZ
258,Real Estate,INVH
259,Health Care,IQV
260,Real Estate,IRM
261,Industrials,JBHT
262,Information Technology,JBL
263,Financials,JKHY
264,Industrials,J
265,Health Care,JNJ
266,Industrials,JCI
267,Financials,JPM
268,Information Technology,JNPR
269,Consumer Staples,K
270,Consumer Staples,KVUE
271,Consumer Staples,KDP
272,Financials,KEY
273,Information Technology,KEYS
274,Consumer Staples,KMB
275,Real Estate,KIM
276,Energy,KMI
277,Financials,KKR
278,Information Technology,KLAC
279,Consumer Staples,KHC
280,Consumer Staples,KR
281,Industrials,LHX
282,Health Care,LH
283,Information Technology,LRCX
284,Consumer Staples,LW
285,Consumer Discretionary,LVS
286,Industrials,LDOS
287,Consumer Discretionary,LEN
288,Industrials,LII
289,Health Care,LLY
290,Materials,LIN
291,Communication Services,LYV
292,Consumer Discretionary,LKQ
293,Industrials,LMT
294,Financials,L
295,Consumer Discretionary,LOW
296,Consumer Discretionary,LULU
297,Materials,LYB
298,Financials,MTB
299,Energy,MPC
300,Financials,MKTX
301,Consumer Discretionary,MAR
302,Financials,MMC
303,Materials,MLM
304,Industrials,MAS
305,Financials,MA
306,Communication Services,MTCH
307,Consumer Staples,MKC
308,Consumer Discretionary,MCD
309,Health Care,MCK
310,Health Care,MDT
311,Health Care,MRK
312,Communication Services,META
313,Financials,MET
314,Health Care,MTD
315,Consumer Discretionary,MGM
316,Information Technology,MCHP
317,Information Technology,MU
318,Information Technology,MSFT
319,Real Estate,MAA
320,Health Care,MRNA
321,Consumer Discretionary,MHK
322,Health Care,MOH
323,Consumer Staples,TAP
324,Consumer Staples,MDLZ
325,Information Technology,MPWR
326,Consumer Staples,MNST
327,Financials,MCO
328,Financials,MS
329,Materials,MOS
330,Information Technology,MSI
331,Financials,MSCI
332,Financials,NDAQ
333,Information Technology,NTAP
334,Communication Services,NFLX
335,Materials,NEM
336,Communication Services,NWSA
337,Communication Services,NWS
338,Utilities,NEE
339,Consumer Discretionary,NKE
340,Utilities,NI
341,Industrials,NDSN
342,Industrials,NSC
343,Financials,NTRS
344,Industrials,NOC
345,Consumer Discretionary,NCLH
346,Utilities,NRG
347,Materials,NUE
348,Information Technology,NVDA
349,Consumer Discretionary,NVR
350,Information Technology,NXPI
351,Consumer Discretionary,ORLY
352,Energy,OXY
353,Industrials,ODFL
354,Communication Services,OMC
355,Information Technology,ON
356,Energy,OKE
357,Information Technology,ORCL
358,Industrials,OTIS
359,Industrials,PCAR
360,Materials,PKG
361,Information Technology,PLTR
362,Information Technology,PANW
363,Communication Services,PARA
364,Industrials,PH
365,Industrials,PAYX
366,Industrials,PAYC
367,Financials,PYPL
368,Industrials,PNR
369,Consumer Staples,PEP
370,Health Care,PFE
371,Utilities,PCG
372,Consumer Staples,PM
373,Energy,PSX
374,Utilities,PNW
375,Financials,PNC
376,Consumer Discretionary,POOL
377,Materials,PPG
378,Utilities,PPL
379,Financials,PFG
380,Consumer Staples,PG
381,Financials,PGR
382,Real Estate,PLD
383,Financials,PRU
384,Utilities,PEG
385,Information Technology,PTC
386,Real Estate,PSA
387,Consumer Discretionary,PHM
388,Industrials,PWR
389,Information Technology,QCOM
390,Health Care,DGX
391,Consumer Discretionary,RL
392,Financials,RJF
393,Industrials,RTX
394,Real Estate,O
395,Real Estate,REG
396,Health Care,REGN
397,Financials,RF
398,Industrials,RSG
399,Health Care,RMD
400,Health Care,RVTY
401,Industrials,ROK
402,Industrials,ROL
403,Information Technology,ROP
404,Consumer Discretionary,ROST
405,Consumer Discretionary,RCL
406,Financials,SPGI
407,Information Technology,CRM
408,Real Estate,SBAC
409,Energy,SLB
410,Information Technology,STX
411,Utilities,SRE
412,Information Technology,NOW
413,Materials,SHW
414,Real Estate,SPG
415,Information Technology,SWKS
416,Consumer Staples,SJM
417,Materials,SW
418,Industrials,SNA
419,Health Care,SOLV
420,Utilities,SO
421,Industrials,LUV
422,Industrials,SWK
423,Consumer Discretionary,SBUX
424,Financials,STT
425,Materials,STLD
426,Health Care,STE
427,Health Care,SYK
428,Information Technology,SMCI
429,Financials,SYF
430,Information Technology,SNPS
431,Consumer Staples,SYY
432,Communication Services,TMUS
433,Financials,TROW
434,Communication Services,TTWO
435,Consumer Discretionary,TPR
436,Energy,TRGP
437,Consumer Staples,TGT
438,Information Technology,TEL
439,Information Technology,TDY
440,Health Care,TFX
441,Information Technology,TER
442,Consumer Discretionary,TSLA
443,Information Technology,TXN
444,Energy,TPL
445,Industrials,TXT
446,Health Care,TMO
447,Consumer Discretionary,TJX
448,Consumer Discretionary,TSCO
449,Industrials,TT
450,Industrials,TDG
451,Financials,TRV
452,Information Technology,TRMB
453,Financials,TFC
454,Information Technology,TYL
455,Consumer Staples,TSN
456,Financials,USB
457,Industrials,UBER
458,Real Estate,UDR
459,Consumer Discretionary,ULTA
460,Industrials,UNP
461,Industrials,UAL
462,Industrials,UPS
463,Industrials,URI
464,Health Care,UNH
465,Health Care,UHS
466,Energy,VLO
467,Real Estate,VTR
468,Industrials,VLTO
469,Information Technology,VRSN
470,Industrials,VRSK
471,Communication Services,VZ
472,Health Care,VRTX
473,Health Care,VTRS
474,Real Estate,VICI
475,Financials,V
476,Utilities,VST
477,Materials,VMC
478,Financials,WRB
479,Industrials,GWW
480,Industrials,WAB
481,Consumer Staples,WBA
482,Consumer Staples,WMT
483,Communication Services,DIS
484,Communication Services,WBD
485,Industrials,WM
486,Health Care,WAT
487,Utilities,WEC
488,Financials,WFC
489,Real Estate,WELL
490,Health Care,WST
491,Information Technology,WDC
492,Real Estate,WY
493,Energy,WMB
494,Financials,WTW
495,Information Technology,WDAY
496,Consumer Discretionary,WYNN
497,Utilities,XEL
498,Industrials,XYL
499,Consumer Discretionary,YUM
500,Information Technology,ZBRA
501,Health Care,ZBH
502,Health Care,ZTS
